time(msec), lat(ns), read0_write1, offset
112000, 46141, 1, 0
112250, 109345, 0, 0
112375, 126784, 0, 0
112500, 73259, 1, 0
112875, 117002, 0, 0
113375, 202491, 0, 0
113500, 78447, 1, 0
114375, 98348, 0, 0
114500, 102108, 0, 0
114500, 30363, 1, 0
114750, 34289, 0, 0
114750, 21575, 1, 0
114875, 87816, 0, 0
115000, 28782, 1, 0
115250, 51628, 1, 0
115375, 102781, 0, 0
115625, 98730, 0, 0
115750, 55005, 1, 0
116000, 54073, 1, 0
116125, 122804, 0, 0
116250, 74265, 1, 0
116375, 188421, 0, 0
117250, 85220, 1, 0
117375, 197087, 0, 0
117750, 50805, 1, 0
117875, 55953, 1, 0
118125, 46733, 1, 0
118375, 81411, 1, 0
118375, 110166, 0, 0
118625, 168271, 0, 0
119375, 84385, 1, 0
119625, 107197, 0, 0
119875, 106860, 0, 0
120125, 166554, 0, 0
120375, 74268, 1, 0
120625, 102149, 1, 0
121125, 85134, 0, 0
121250, 109446, 0, 0
121375, 197856, 0, 0
121636, 11866246, 1, 0
122375, 122354, 0, 0
122625, 58446, 1, 0
122625, 37303, 0, 0
122750, 130152, 0, 0
122750, 60956, 1, 0
123000, 128504, 0, 0
123500, 104707, 0, 0
123625, 199323, 0, 0
123750, 55544, 1, 0
123875, 80744, 1, 0
124625, 144296, 0, 0
124875, 59997, 1, 0
125000, 81380, 1, 0
125125, 106517, 0, 0
125375, 160279, 0, 0
126000, 55516, 1, 0
126125, 60957, 1, 0
126375, 28553, 1, 0
126375, 74396, 0, 0
126500, 157074, 0, 0
126625, 88786, 1, 0
127500, 136400, 0, 0
127625, 57963, 1, 0
127875, 61929, 1, 0
128000, 122233, 0, 0
128250, 129053, 0, 0
128375, 77943, 1, 0
128750, 96358, 0, 0
129000, 118909, 0, 0
129250, 104878, 0, 0
129375, 56984, 1, 0
129500, 120457, 0, 0
129625, 61340, 1, 0
129750, 173601, 0, 0
130125, 67305, 1, 0
130625, 42563, 1, 0
130750, 115062, 0, 0
131125, 68152, 1, 0
131250, 172844, 0, 0
131375, 58732, 1, 0
131625, 52392, 1, 0
131750, 79128, 1, 0
132250, 125288, 0, 0
132750, 37190, 1, 0
132750, 77910, 0, 0
133000, 49520, 1, 0
133000, 151303, 0, 0
133125, 56573, 1, 0
133375, 65068, 1, 0
133875, 65196, 1, 0
134000, 136387, 0, 0
134125, 203151, 0, 0
134125, 41157, 1, 0
134375, 60268, 1, 0
134500, 78094, 1, 0
135125, 143304, 0, 0
135375, 170402, 0, 0
135500, 81715, 1, 0
135750, 78586, 1, 0
136250, 64585, 1, 0
136375, 184412, 0, 0
136500, 62344, 1, 0
137000, 92627, 1, 0
137375, 120928, 0, 0
137625, 122808, 0, 0
137875, 196003, 0, 0
138000, 55787, 1, 0
138250, 57016, 1, 0
138500, 60932, 1, 0
138750, 55513, 1, 0
138875, 127636, 0, 0
138875, 59365, 1, 0
139375, 121389, 0, 0
139625, 62032, 0, 0
139750, 133476, 0, 0
139875, 55977, 1, 0
140125, 59984, 1, 0
140250, 195591, 0, 0
140625, 74860, 1, 0
141250, 130396, 0, 0
141500, 60046, 0, 0
141625, 56760, 1, 0
141875, 47842, 1, 0
142000, 107297, 0, 0
142000, 32002, 1, 0
142125, 59331, 1, 0
142250, 108005, 0, 0
142500, 112049, 0, 0
142625, 76927, 1, 0
142750, 195749, 0, 0
143625, 88555, 1, 0
143750, 108732, 0, 0
144000, 62044, 0, 0
144125, 69780, 1, 0
144375, 61728, 1, 0
144875, 72448, 1, 0
145000, 56420, 0, 0
145250, 98837, 0, 0
145375, 36407, 1, 0
145500, 83417, 0, 0
145750, 109668, 0, 0
145875, 44238, 1, 0
146000, 68149, 1, 0
146000, 90719, 0, 0
146250, 201099, 0, 0
146500, 49760, 1, 0
146625, 53117, 1, 0
146750, 62672, 1, 0
147250, 125269, 0, 0
147250, 46758, 1, 0
147500, 104017, 0, 0
147625, 43243, 0, 0
147750, 38452, 1, 0
148000, 61099, 1, 0
148125, 104798, 0, 0
148250, 127435, 0, 0
148250, 59449, 1, 0
148500, 124925, 0, 0
149000, 127328, 0, 0
149250, 66685, 1, 0
149500, 125693, 0, 0
149750, 121985, 0, 0
150250, 122980, 0, 0
150250, 38137, 1, 0
150375, 42499, 1, 0
150625, 63581, 1, 0
150750, 113089, 0, 0
150875, 42763, 1, 0
151000, 145382, 0, 0
151125, 75286, 1, 0
151500, 187444, 0, 0
152150, 25939626, 1, 0
152375, 62476, 1, 0
152500, 123788, 0, 0
152625, 125944, 0, 0
152875, 123412, 0, 0
152875, 42653, 1, 0
153125, 110357, 0, 0
153375, 39615, 0, 0
153375, 25837, 1, 0
153625, 54252, 1, 0
153625, 93810, 0, 0
153875, 61127, 1, 0
153875, 97403, 0, 0
154375, 120201, 1, 0
154375, 184465, 0, 0
155375, 107753, 0, 0
155375, 46193, 1, 0
155625, 116733, 0, 0
155875, 170073, 0, 0
155875, 32603, 1, 0
156000, 49133, 1, 0
156125, 44494, 1, 0
156625, 72571, 1, 0
156875, 119741, 0, 0
156875, 36482, 1, 0
157000, 120769, 0, 0
157000, 35514, 1, 0
157125, 62352, 1, 0
157250, 122036, 0, 0
157625, 63196, 1, 0
157750, 129716, 0, 0
158125, 61687, 1, 0
158250, 115061, 0, 0
158375, 55261, 1, 0
158625, 69033, 1, 0
158750, 103633, 0, 0
158875, 122056, 0, 0
159125, 48649, 1, 0
159125, 152591, 0, 0
159250, 70643, 1, 0
159750, 57861, 1, 0
160000, 57124, 1, 0
160125, 107438, 0, 0
160250, 75940, 1, 0
160375, 112400, 0, 0
160625, 132061, 0, 0
160750, 123924, 0, 0
161000, 124516, 0, 0
