time(msec), BW(kbps), read0_write1, offset
125250, 32, 0, 0
125500, 128, 0, 0
126000, 16, 1, 0
126250, 32, 1, 0
126500, 144, 0, 0
126500, 32, 1, 0
126750, 128, 1, 0
127500, 64, 0, 0
127750, 32, 1, 0
128000, 32, 0, 0
128000, 64, 1, 0
128250, 64, 0, 0
128500, 128, 1, 0
128750, 32, 0, 0
129000, 32, 0, 0
129250, 32, 0, 0
129500, 32, 0, 0
129500, 32, 1, 0
129750, 128, 0, 0
129750, 64, 1, 0
130250, 64, 1, 0
130751, 63, 0, 0
130751, 63, 1, 0
131250, 128, 0, 0
131250, 32, 1, 0
131500, 32, 1, 0
131750, 144, 1, 0
132250, 64, 0, 0
132750, 32, 0, 0
132750, 32, 1, 0
133250, 128, 0, 0
133250, 48, 1, 0
133500, 64, 1, 0
134000, 16, 0, 0
134000, 32, 1, 0
134250, 128, 0, 0
134250, 32, 1, 0
134500, 144, 1, 0
135250, 32, 0, 0
135500, 128, 0, 0
135500, 32, 1, 0
135750, 64, 1, 0
136250, 32, 1, 0
136500, 128, 0, 0
136500, 64, 1, 0
137000, 128, 1, 0
137500, 32, 0, 0
137750, 32, 0, 0
138000, 128, 0, 0
138000, 32, 1, 0
138250, 32, 1, 0
138500, 32, 1, 0
138750, 16, 1, 0
139000, 64, 0, 0
139000, 128, 1, 0
139500, 32, 0, 0
139750, 80, 0, 0
140000, 32, 1, 0
140250, 128, 0, 0
140250, 64, 1, 0
140750, 128, 1, 0
141250, 32, 0, 0
141500, 64, 0, 0
141750, 32, 1, 0
142000, 32, 0, 0
142000, 32, 1, 0
142250, 64, 1, 0
142500, 64, 0, 0
142750, 128, 0, 0
142750, 128, 1, 0
143750, 64, 1, 0
144000, 160, 0, 0
144250, 32, 1, 0
144500, 64, 1, 0
145000, 32, 0, 0
145000, 64, 1, 0
145250, 32, 0, 0
145500, 32, 0, 0
145500, 64, 1, 0
145750, 32, 0, 0
146000, 32, 0, 0
146000, 80, 1, 0
146500, 128, 0, 0
146500, 16, 1, 0
146750, 80, 1, 0
147250, 32, 0, 0
